,Name,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
85,"Fortune, Mr. Mark",0,1,1,64.0,1,4,19950,263.0,C23 C25 C27,S
86,"Dodge, Master. Washington",1,1,1,4.0,0,2,33638,81.8583,A34,S
87,"Peuchen, Major. Arthur Godfrey",1,1,1,52.0,0,0,113786,30.5,C104,S
88,"Foreman, Mr. Benjamin Laventall",0,1,1,30.0,0,0,113051,27.75,C111,C
89,"Goldenberg, Mr. Samuel L",1,1,1,49.0,1,0,17453,89.1042,C92,C
90,"Millet, Mr. Francis Davis",0,1,1,65.0,0,0,13509,26.55,E38,S
91,"Anderson, Mr. Harry",1,1,1,48.0,0,0,19952,26.55,E12,S
92,"Gee, Mr. Arthur H",0,1,1,47.0,0,0,111320,38.5,E63,S
93,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",1,2,0,23.0,0,0,SC/AH Basle 541,13.7917,D,C
94,"Bishop, Mr. Dickinson H",1,1,1,25.0,1,0,11967,91.0792,B49,C
95,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",1,1,0,35.0,1,0,19943,90.0,C93,S
96,"Kent, Mr. Edward Austin",0,1,1,58.0,0,0,11771,29.7,B37,C
97,"Molson, Mr. Harry Markland",0,1,1,55.0,0,0,113787,30.5,C30,S
98,"Eustis, Miss. Elizabeth Mussey",1,1,0,54.0,1,0,36947,78.2667,D20,C
99,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",0,1,0,25.0,1,2,113781,151.55,C22 C26,S
100,"Maioni, Miss. Roberta",1,1,0,16.0,0,0,110152,86.5,B79,S
101,"Penasco y Castellana, Mr. Victor de Satode",0,1,1,18.0,1,0,PC 17758,108.9,C65,C
102,"McGough, Mr. James Robert",1,1,1,36.0,0,0,PC 17473,26.2875,E25,S
103,"Walker, Mr. William Anderson",0,1,1,47.0,0,0,36967,34.0208,D46,S
104,"Lemore, Mrs. (Amelia Milley)",1,2,0,34.0,0,0,C.A. 34260,10.5,F33,S
105,"Perreault, Miss. Anne",1,1,0,30.0,0,0,12749,93.5,B73,S
106,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",1,1,0,44.0,0,1,111361,57.9792,B18,C
107,"Butt, Major. Archibald Willingham",0,1,1,45.0,0,0,113050,26.55,B38,S
108,"Frolicher, Miss. Hedwig Margaritha",1,1,0,22.0,0,2,13568,49.5,B39,C
109,"Crosby, Miss. Harriet R",1,1,0,36.0,0,2,WE/P 5735,71.0,B22,S
110,"Douglas, Mr. Walter Donald",0,1,1,50.0,1,0,PC 17761,106.425,C86,C
111,"Thayer, Mr. John Borland Jr",1,1,1,17.0,0,2,17421,110.8833,C70,C
112,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,1,0,48.0,1,0,11755,39.6,A16,C
113,"Taussig, Mrs. Emil (Tillie Mandelbaum)",1,1,0,39.0,1,1,110413,79.65,E67,S
114,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1,1,0,53.0,2,0,11769,51.4792,C101,S
115,"Flynn, Mr. John Irwin (""Irving"")",1,1,1,36.0,0,0,PC 17474,26.3875,E25,S
116,"Silvey, Mrs. William Baird (Alice Munger)",1,1,0,39.0,1,0,13507,55.9,E44,S
117,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,1,0,39.0,1,1,17421,110.8833,C68,C
118,"Ross, Mr. John Hugo",0,1,1,36.0,0,0,13049,40.125,A10,C
119,"Taussig, Miss. Ruth",1,1,0,18.0,0,2,110413,79.65,E68,S
120,"Frolicher-Stehli, Mr. Maxmillian",1,1,1,60.0,1,1,13567,79.2,B41,C
121,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1,1,0,52.0,1,0,36947,78.2667,D20,C
122,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,1,1,49.0,1,0,PC 17485,56.9292,A20,C
123,"Shutes, Miss. Elizabeth W",1,1,0,40.0,0,0,PC 17582,153.4625,C125,S
124,"Becker, Miss. Marion Louise",1,2,0,4.0,2,1,230136,39.0,F4,S
125,"Kimball, Mr. Edwin Nelson Jr",1,1,1,42.0,1,0,11753,52.5542,D19,S
126,"Sutton, Mr. Frederick",0,1,1,61.0,0,0,36963,32.3208,D50,S
127,"Longley, Miss. Gretchen Fiske",1,1,0,21.0,0,0,13502,77.9583,D9,S
128,"Barkworth, Mr. Algernon Henry Wilson",1,1,1,80.0,0,0,27042,30.0,A23,S
129,"Stahelin-Maeglin, Dr. Max",1,1,1,32.0,0,0,13214,30.5,B50,C
130,"Sagesser, Mlle. Emma",1,1,0,24.0,0,0,PC 17477,69.3,B35,C
131,"Harper, Mr. Henry Sleeper",1,1,1,48.0,1,0,PC 17572,76.7292,D33,C
132,"Simonius-Blumer, Col. Oberst Alfons",1,1,1,56.0,0,0,13213,35.5,A26,C
133,"Newell, Mr. Arthur Webster",0,1,1,58.0,0,2,35273,113.275,D48,C
134,"Colley, Mr. Edward Pomeroy",0,1,1,47.0,0,0,5727,25.5875,E58,S
135,"Davidson, Mr. Thornton",0,1,1,31.0,1,0,F.C. 12750,52.0,B71,S
136,"Cardeza, Mr. Thomas Drake Martinez",1,1,1,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C
137,"Hassab, Mr. Hammad",1,1,1,27.0,0,0,PC 17572,76.7292,D49,C
138,"Madill, Miss. Georgette Alexandra",1,1,0,15.0,0,1,24160,211.3375,B5,S
139,"Dick, Mr. Albert Adrian",1,1,1,31.0,1,0,17474,57.0,B20,S
140,"Thayer, Mr. John Borland",0,1,1,49.0,1,1,17421,110.8833,C68,C
141,"Humblen, Mr. Adolf Mathias Nicolai Olsen",0,3,1,42.0,0,0,348121,7.65,F G63,S
142,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,1,0,18.0,1,0,PC 17757,227.525,C62 C64,C
143,"Silverthorne, Mr. Spencer Victor",1,1,1,35.0,0,0,PC 17475,26.2875,E24,S
144,"Calderhead, Mr. Edward Pennington",1,1,1,42.0,0,0,PC 17476,26.2875,E24,S
145,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,1,0,24.0,0,0,PC 17482,49.5042,C90,C
146,"Taylor, Mr. Elmer Zebley",1,1,1,48.0,1,0,19996,52.0,C126,S
147,"Soholt, Mr. Peter Andreas Lauritz Andersen",0,3,1,19.0,0,0,348124,7.65,F G73,S
148,"Endres, Miss. Caroline Louise",1,1,0,38.0,0,0,PC 17757,227.525,C45,C
149,"Troutt, Miss. Edwina Celia ""Winnie""",1,2,0,27.0,0,0,34218,10.5,E101,S
150,"Chambers, Mr. Norman Campbell",1,1,1,27.0,1,0,113806,53.1,E8,S
151,"Allen, Miss. Elisabeth Walton",1,1,0,29.0,0,0,24160,211.3375,B5,S
152,"Lesurer, Mr. Gustave J",1,1,1,35.0,0,0,PC 17755,512.3292,B101,C
153,"Cavendish, Mr. Tyrell William",0,1,1,36.0,1,0,19877,78.85,C46,S
154,"Ryerson, Miss. Susan Parker ""Suzette""",1,1,0,21.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
155,"Crosby, Capt. Edward Gifford",0,1,1,70.0,1,1,WE/P 5735,71.0,B22,S
156,"Marvin, Mr. Daniel Warner",0,1,1,19.0,1,0,113773,53.1,D30,S
157,"Moor, Master. Meier",1,3,1,6.0,0,1,392096,12.475,E121,S
158,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1,1,0,33.0,0,0,110152,86.5,B77,S
159,"Carter, Mrs. William Ernest (Lucile Polk)",1,1,0,36.0,1,2,113760,120.0,B96 B98,S
160,"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,51.0,1,0,13502,77.9583,D11,S
161,"Mack, Mrs. (Mary)",0,2,0,57.0,0,0,S.O./P.P. 3,10.5,E77,S
162,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,1,0,43.0,0,1,24160,211.3375,B3,S
163,"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,1,0,17.0,1,0,17474,57.0,B20,S
164,"Long, Mr. Milton Clyde",0,1,1,29.0,0,0,113501,30.0,D6,S
165,"Guggenheim, Mr. Benjamin",0,1,1,46.0,0,0,PC 17593,79.2,B82 B84,C
166,"Leader, Dr. Alice (Farnham)",1,1,0,49.0,0,0,17465,25.9292,D17,S
167,"Carter, Master. William Thornton II",1,1,1,11.0,1,2,113760,120.0,B96 B98,S
168,"Andrews, Mr. Thomas Jr",0,1,1,39.0,0,0,112050,0.0,A36,S
169,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,0,33.0,1,0,113806,53.1,E8,S
170,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,1,0,52.0,1,1,12749,93.5,B69,S
171,"Moor, Mrs. (Beila)",1,3,0,27.0,0,1,392096,12.475,E121,S
172,"Compton, Miss. Sara Rebecca",1,1,0,39.0,1,1,PC 17756,83.1583,E49,C
173,"Lines, Miss. Mary Conover",1,1,0,16.0,0,1,PC 17592,39.4,D28,S
174,"Daly, Mr. Peter Denis ",1,1,1,51.0,0,0,113055,26.55,E17,S
175,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,1,0,48.0,0,0,17466,25.9292,D17,S
176,"Roebling, Mr. Washington Augustus II",0,1,1,31.0,0,0,PC 17590,50.4958,A24,S
177,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,1,0,47.0,1,1,11751,52.5542,D35,S
178,"Carlsson, Mr. Frans Olof",0,1,1,33.0,0,0,695,5.0,B51 B53 B55,S
179,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,1,0,56.0,0,1,11767,83.1583,C50,C
180,"Graham, Miss. Margaret Edith",1,1,0,19.0,0,0,112053,30.0,B42,S
181,"Behr, Mr. Karl Howell",1,1,1,26.0,0,0,111369,30.0,C148,C
